rank	name	country	href
67	University of Hong Kong	Hong Kong	https://www.usnews.com/education/best-global-universities/university-of-hong-kong-505046
68	Shenzhen University	China	https://www.usnews.com/education/best-global-universities/shenzhen-university-529041
69	University of Edinburgh	United Kingdom	https://www.usnews.com/education/best-global-universities/university-of-edinburgh-505832
70	Universite Paris Saclay	France	https://www.usnews.com/education/best-global-universities/universite-paris-saclay-529676
71	Polytechnic University of Milan	Italy	https://www.usnews.com/education/best-global-univtsinghua-university-503146ersities/polytechnic-university-of-milan-502229
71	University of Erlangen Nuremberg	Germany	https://www.usnews.com/education/best-global-universities/university-of-erlangen-nuremberg-504002
73	Sungkyunkwan University	South Korea	https://www.usnews.com/education/best-global-universities/sungkyunkwan-university-500193
74	Northwestern Polytechnical University	China	https://www.usnews.com/education/best-global-universities/northwestern-polytechnical-university-504154
75	University of Alberta	Canada	https://www.usnews.com/education/best-global-universities/university-of-alberta-499977
75	University of Maryland  College Park	United States	https://www.usnews.com/education/best-global-universities/university-of-maryland-college-park-163286
77	University of Surrey	United Kingdom	https://www.usnews.com/education/best-global-universities/university-of-surrey-505401
78	Arizona State University  Tempe	United States	https://www.usnews.com/education/best-global-universities/arizona-state-university-tempe-104151
79	Central South University	China	https://www.usnews.com/education/best-global-universities/central-south-university-501467
79	University of Michigan  Ann Arbor	United States	https://www.usnews.com/education/best-global-universities/university-of-michigan-ann-arbor-170976
81	King Abdullah University of Science   Technology	Saudi Arabia	https://www.usnews.com/education/best-global-universities/king-abdullah-university-of-science-technology-510489
81	Universite de Lyon  ComUE	France	https://www.usnews.com/education/best-global-universities/universite-de-lyon-comue-529380
83	Dalian University of Technology	China	https://www.usnews.com/education/best-global-universities/dalian-university-of-technology-500236
84	University of California  Los Angeles	United States	https://www.usnews.com/education/best-global-universities/university-of-california-los-angeles-110662
84	University of Oxford	United Kingdom	https://www.usnews.com/education/best-global-universities/university-of-oxford-503637
86	Michigan State University	United States	https://www.usnews.com/education/best-global-universities/michigan-state-university-171100
87	Deakin University	Australia	https://www.usnews.com/education/best-global-universities/deakin-university-504884
88	Vienna University of Technology	Austria	https://www.usnews.com/education/best-global-universities/vienna-university-of-technology-502163
89	Cornell University	United States	https://www.usnews.com/education/best-global-universities/cornell-university-190415
89	King s College London	United Kingdom	https://www.usnews.com/education/best-global-universities/kings-college-london-500330
91	University of Southampton	United Kingdom	https://www.usnews.com/education/best-global-universities/university-of-southampton-504892
92	Beijing Jiaotong University	China	https://www.usnews.com/education/best-global-universities/beijing-jiaotong-university-501352
93	Tongji University	China	https://www.usnews.com/education/best-global-universities/tongji-university-501326
94	Northeastern University   China	China	https://www.usnews.com/education/best-global-universities/northeastern-university-china-514931
94	Pennsylvania State University  University Park	United States	https://www.usnews.com/education/best-global-universities/pennsylvania-state-university-university-park-214777
96	University of Qatar	Qatar	https://www.usnews.com/education/best-global-universities/university-of-qatar-529146
97	China University of Geosciences	China	https://www.usnews.com/education/best-global-universities/china-university-of-geosciences-506930
98	Korea University	South Korea	https://www.usnews.com/education/best-global-universities/korea-university-505391
99	RMIT University	Australia	https://www.usnews.com/education/best-global-universities/rmit-university-503858
100	Aalborg University	Denmark	https://www.usnews.com/education/best-global-universities/aalborg-university-501276
